pk,id,name,latitude,longitude,speakers_count,father_pk,family_pk,level,child_family_count,child_language_count,child_dialect_count,macroareas,status
1123,sepi1258,Sepik Hill,,,,331.0,331.0,family,7,15,14,Papunesia,
1124,abau1245,Abau,-3.9722199999999996,141.32399999999996,7300.0,331.0,331.0,language,0,0,0,Papunesia,shifting
1125,iwam1259,Iwam-Wogamus,,,,331.0,331.0,family,2,4,0,Papunesia,
1126,amal1242,Amal,-4.04517,141.995,830.0,331.0,331.0,language,0,0,0,Papunesia,shifting
1127,sepi1256,Sepik Tama,,,,331.0,331.0,family,3,6,2,Papunesia,
1128,yell1247,Yellow River,,,,331.0,331.0,family,0,3,0,Papunesia,
1129,tete1252,Tetete,-0.026680000000000002,-76.5761,500.0,332.0,332.0,language,0,0,0,South America,extinct
1130,puna1274,Punan Merap,3.10143,116.251,200.0,332.0,332.0,language,0,0,0,Papunesia,shifting
1131,noca1240,Nocamán,-8.91666,-73.1667,1200.0,332.0,332.0,language,0,0,0,South America,extinct
1132,jaka1246,"Jakalteko, Western",,,,332.0,332.0,language,0,0,0,North America,
1133,ting1253,Tingal,12.1797,31.1244,,332.0,332.0,language,0,0,0,Africa,
1134,kayo1247,Kayort,26.6179,87.6042,15000000.0,332.0,332.0,language,0,0,0,Eurasia,threatened
1135,pubi1237,Pubian,,,,332.0,332.0,language,0,0,0,,
1136,rawa1268,Rawas (Retired),,,,332.0,332.0,language,0,0,0,,
1137,kwak1264,Kwak,6.66524,11.1087,,332.0,332.0,language,0,0,0,Africa,
1138,mali1288,Malinguat,,,,332.0,332.0,language,0,0,0,Papunesia,
1139,kich1267,"K'iche', Joyabaj",,,,332.0,332.0,language,0,0,0,North America,
1140,sara1320,Sara Dunjo,8.99175,19.9446,,332.0,332.0,language,0,0,0,Africa,
1141,mala1431,Malakhel,33.0726,69.0719,,332.0,332.0,language,0,0,0,Eurasia,
1142,arak1254,Arakwal,,,,332.0,332.0,language,0,0,0,Australia,extinct
1143,kich1266,"K'iche', West Central",,,,332.0,332.0,language,0,0,0,North America,
1144,khum1250,Khumi Awa Chin,20.5226,93.3656,,332.0,332.0,language,0,0,0,Eurasia,
1145,ibil1238,Ibilo,7.42662,6.08384,,332.0,332.0,language,0,0,0,Africa,
1146,sout3223,Southeastern Puebla Nahuatl,,,,332.0,332.0,language,0,0,0,,
1147,wela1234,Welaung,27.0457,98.3197,5000.0,332.0,332.0,language,0,0,0,Eurasia,not endangered
1148,gbat1238,Gbati-ri,2.98585,28.7911,,332.0,332.0,language,0,0,0,Africa,
1149,quet1239,Quetzaltepec Mixe,16.921470000000006,-95.67269,,332.0,332.0,language,0,0,0,North America,threatened
1150,bura1269,Buraka,4.42283,20.7161,,332.0,332.0,language,0,0,0,Africa,threatened
1151,kich1263,"K'iche', San Andrés",,,,332.0,332.0,language,0,0,0,North America,
1152,norr1243,Norra,27.5088,98.4502,,332.0,332.0,language,0,0,0,Eurasia,extinct
1153,khua1244,Khuai,,,,332.0,332.0,language,0,0,0,Africa,
1154,waga1262,Wagawaga (Retired),,,,332.0,332.0,language,0,0,0,,
1155,loar1234,Loarki,26.095,68.715,20000.0,332.0,332.0,language,0,0,0,Eurasia,not endangered
1156,baha1262,Bahau River Kenyah,,,,332.0,332.0,language,0,0,0,,
1157,coxi1236,Coxima,6.08332,-72.0833,,332.0,332.0,language,0,0,0,South America,extinct
1158,kumb1267,Kumbaran,,,10000.0,332.0,332.0,language,0,0,0,Eurasia,threatened
1159,rufi1234,Rufiji,-7.990589999999999,38.7133,72000.0,332.0,332.0,language,0,0,0,Africa,not endangered
1160,kich1265,"K'iche', Eastern",,,,332.0,332.0,language,0,0,0,North America,
